id,activity
1,"Run"
38,"Soccer"
2,"NordicWalking "
42,"Surfing"
3,"Cycling"
43,"Kitesurfing"
4,"Ride"
44,"Kayaking"
5,"Other"
45,"Basketball"
6,"Inline Skating "
46,"Spinning"
7,"Hiking"
47,"Paragliding"
8,"Cross country skiing "
48,"Wakeboarding"
9,"Skiing"
50,"Diving"
10,"Snowboarding"
51,"Table Tennis"
11,"Motorbike"
52,"Handball"
13,"Snowshoeing"
53,"Back-country skiing"
14,"Treadmill"
54,"Ice Skating"
15,"Ergometer"
55,"Sledding"
16,"Elliptical"
58,"Curling"
17,"Rowing"
60,"Biathlon"
18,"Swimming"
61,"Kite Skiing"
19,"Walking"
62,"Speed Skiing"
20,"Riding"
63,"PushUps"
21,"Golfing"
64,"SitUps"
22,"StandUpPaddling"
65,"PullUps"
23,"Tennis"
66,"Squats"
24,"Badminton"
67,"American Football"
25,"Squash"
68,"Baseball"
26,"Yoga"
69,"Crossfit"
27,"Aerobics"
70,"Dancing"
28,"Martial Arts "
71,"Ice Hockey"
29,"Sailing"
72,"Skateboarding"
30,"Windsurfing"
73,"Zumba"
31,"Pilates"
74,"Gymnastics"
32,"Rock Climbing "
75,"Rugby"
33,"Frisbee"
76,"Standup Paddling"
34,"Strength Training "
77,"Sixpack"
